case_id,child_id,assigned_family,decision,selected_candidate_label,confidence,relationship_type,rationale,candidate_ranking,selected_parent_id,retrieval_sources,word5_score,word5_rank,word10_score,word10_rank,bm25_score,bm25_rank,function_score,function_rank
SHC027,1547,property_blocking,candidate,C21,0.99,both,"C21 is a direct and material drafting template. It is an earlier Haiti sanctions order that the child expressly extends through its anti-evasion provision, and the child adapts C21's targeted blocking machinery from Haitian nationals supporting or doing substantial business with the de facto regime to persons obstructing specified democratization efforts, perpetrating violence, or supporting those actors. The two orders also share a distinctive sequence and extensive language: licensing and prior-obligation qualifications; property within the United States or controlled by U.S. persons; anti-evasion prohibition; Treasury implementation in consultation with State; redelegation and agency enforcement, including license suspension; no-private-right disclaimer; and effective-date, transmission, and publication clauses. C11 and C03 are strong secondary templates because they contain closely parallel Clinton-era sanctions language and structure, but neither has C21's same-country, directly continued sanctions program and targeted-person blocking mechanism.",C21|C11|C03,1566,bm25|function|word10|word5,0.5672906041145325,1,0.4863434433937073,1,369.72168990942373,1,0.76285320520401,1
SHC028,6742,property_blocking,candidate,C18,0.86,both,"C18 plausibly supplied a material foundation for the later report because it establishes the specific Iran-United States Claims Tribunal machinery that dominates the child: suspension and presentation of claims to the Tribunal, jurisdictional determinations, merits awards, payment-based discharge, Treasury implementation, and congressional transmission. The child then reports concrete developments under that same machinery, including adjudications, jurisdictional dismissals, awards, settlements, and government-to-government claims. C11 is a weaker source for the child's discussion of the Bank of England escrow account and Iranian bank claims, while C17 supplies broader Iran-emergency and Treasury-accounting context but not the report's principal structure.",C18|C11|C17,2124,rrf_fill,0.0020238382276147604,11,0.0,200,202.3089693566332,33,0.5611230731010437,156
SHC029,380,property_blocking,candidate,C24,0.98,both,"C24 is expressly identified in the child's preamble as the directive declaring the national emergency being supplemented, and it plausibly supplied most of the child's sanctions-order framework. The child preserves C24's property-blocking formula and then reproduces, with modest adaptations, its provisions covering contributions and services, evasion and conspiracy, the IEEPA donations determination, definitions, lack of prior notice, Treasury implementation and internal redelegation, agency assistance, and official Federal Government and United Nations business. The child's PEESA-specific designation, waiver, and visa machinery is new, but it is inserted into a concrete drafting architecture materially shared with C24. C04 and C10 have similarly close sanctions structures, but C24 is stronger because of the express relationship and the same Russian national emergency.",C24|C04|C10,395,bm25|word10|word5,0.6066524386405945,1,0.49747273325920105,1,442.4877287644452,4,0.7208044528961182,48
SHC030,592,property_blocking,candidate,C23,0.99,both,"C23 is an exceptionally strong template: the child expressly identifies the August 24, 2017 directive as an earlier step in the same Venezuela emergency and closely reproduces its compact sequence—targeted financial-transaction prohibition, exceptions clause, anti-evasion and conspiracy provisions, definitions, Treasury implementation and redelegation, agency direction, no-prior-notice finding, and effective date. The child adapts C23's core transaction language from Venezuelan debt, equity, bonds, and distributions to Venezuelan government-issued digital currency. C05 supplies the underlying Venezuela emergency and substantially identical definitions and sanctions machinery, but C23 is the much closer immediate drafting model. C18 has similar contemporary Trump-era phrasing and machinery but concerns a different, broader North Korea sanctions structure.",C23|C05|C18,611,bm25|word10|word5,0.6659616231918335,1,0.5815936326980591,1,518.1707046979316,1,0.6854622960090637,34
SHC031,4657,property_blocking,candidate,C25,0.99,both,"C25 is a direct and material drafting template for the child letter. Both concern the same Ukraine national-emergency lineage and use the same sequence: report the order, identify the territorial target, enumerate prohibitions on new investment, imports, exports/reexports/sales/supply, and facilitation, then enumerate designation criteria for persons operating in the region, leaders of entities there, persons owned or controlled by blocked persons, and material supporters. The child primarily substitutes the DNR/LNR and other Covered Regions for Crimea and adds limited temporal and office-title detail. C13 is the underlying executive-order version of substantially the same machinery, while C12 has a similar trade-and-investment sanctions package but is less directly matched.",C25|C13|C12,5014,bm25|word5,0.23633110523223877,3,0.14089933037757874,6,297.68132500862794,1,0.5490209460258484,217
SHC032,4680,property_blocking,candidate,C21,0.97,both,C21 is a highly plausible drafting template. Both are Biden letters issued only two months apart reporting an Executive Order that expands an existing country-specific national emergency. They share a distinctive sequence and closely parallel language: report issuance and expansion of the emergency; describe the factual predicate as an unusual and extraordinary threat; state that the order augments sanctions designation criteria; direct all executive departments and agencies to act; and enclose the order. The substitutions of Belarus for the Western Balkans and different underlying misconduct are target-specific adaptations. C11 has similar expansion language and letter form but lacks the implementation directive; C07 has the same expansion-and-sanctions structure but is less textually close.,C21|C11|C07,4688,bm25|same_family_recent|word10|word5,0.27338752150535583,1,0.16366885602474213,1,192.96292990088284,1,0.6993504166603088,33
SHC033,351,property_blocking,candidate,C03,0.99,both,"C03 is an exceptionally strong template: it was issued three days earlier, is expressly identified in the child’s preamble as the order being expanded, and supplies nearly the entire section sequence and much of the language verbatim. The child retains C03’s core machinery—enumerated import and investment prohibitions, foreign-transaction facilitation, exceptions, anti-evasion and conspiracy rules, official-business exception, definitions, and Treasury implementation authority—while adding new Russian products, exports, banknotes, and Commerce responsibilities. C14 and C05 contain closely parallel trade-and-investment sanctions machinery, but C03 is the direct and materially reused drafting model.",C03|C14|C05,353,bm25|function|same_family_recent|word10|word5,0.5421167612075806,1,0.43330681324005127,1,505.1547965676056,1,0.724216639995575,1
SHC034,981,property_blocking,candidate,C09,0.99,both,"C09 plausibly supplied a concrete and material drafting template. Beyond the standard IEEPA framework, its core designation criterion is unusually close to the child: persons who committed or pose a significant risk of committing acts of violence having the purpose or effect of threatening peace or stability, followed by materially-assisting and owned-or-controlled prongs. The child adapts that same substantive machinery from Western Balkans stabilization to Iraq and preserves the sequence of property blocking, support and control criteria, contribution prohibitions, evasion and conspiracy provisions, definitions, and Treasury implementation. C25 and C05 closely match the later, polished sanctions-order structure, but their target criteria are less textually congruent with the child's central violence-and-stabilization formulation.",C09|C25|C05,1200,rrf_fill,0.346210241317749,14,0.22081047296524048,14,475.6216656204279,8,0.7048546671867371,15
SHC035,584,property_blocking,candidate,C04,0.99,both,"C04 is a concrete and material drafting template: it is an earlier Venezuela financial-sanctions order with the same opening transaction formula, the same exception clause, the same anti-evasion and conspiracy provisions, the same sequence of definitions, an almost identical definition of the Government of Venezuela, and essentially identical Treasury implementation machinery. The child adapts C04's debt, equity, and securities restrictions to additional categories of Venezuelan government debt, collateral, and equity transfers. C06 is also a close textual template for the common structure, but its substantive target is digital currency rather than the debt-and-equity machinery carried forward from C04. C16 is third because it supplies the Venezuela sanctions framework and related definition, but its principal blocking-and-entry machinery is less closely matched.",C04|C06|C16,611,bm25|word10|word5,0.6430778503417969,2,0.5765352845191956,2,410.2477515637339,2,0.7025177478790283,9
SHC036,1206,property_blocking,candidate,C21,0.99,both,"C21 is the directive expressly continued and expanded by the child. The child incorporates C21's emergency and definitions by reference and reuses its central drafting architecture: a direct-or-indirect rough-diamond import prohibition, licensing exceptions and prior-rights override, anti-evasion language, Treasury implementation under IEEPA and UNPA, agency direction, and a no-private-rights clause. It adapts that concrete machinery from Sierra Leone diamonds to diamonds passing through Liberia. C10 is a strong secondary analogue because it contains the earlier certificate-of-origin diamond-import mechanism, while C14 shares the anti-evasion-and-conspiracy formulation, but neither matches C21's direct lineage and overall structure.",C21|C10|C14,1224,bm25|function|same_family_recent|word10|word5,0.33760660886764526,1,0.24998492002487183,1,487.60327563653414,1,0.7972961664199829,1
SHC037,4715,property_blocking,candidate,C10,0.78,both,"C10 plausibly supplied a material template for the child letter. Both are Trump-era congressional transmittals describing additional emergency steps against foreign actors' misuse of United States information-technology services; both place regulatory implementation with the Secretary of Commerce, contemplate Commerce identification or regulation of covered transactions, then use nearly identical delegation, agency-implementation, and enclosure language. C01 has a similarly close overall sequence and foreign-adversary technology-protection framework, but its bulk-power subject and Energy-led transaction-review machinery are less directly aligned. C17 supplies the child's underlying cyber-emergency vocabulary and is expressly within the same emergency lineage, but its Treasury-administered asset-blocking scheme is materially different from the child's Commerce-administered IaaS recordkeeping and access controls.",C10|C01|C17,4739,rrf_fill,0.05295238271355629,12,0.017634106799960136,28,128.73017543979466,38,0.6572292447090149,10
SHC038,5323,property_blocking,candidate,C06,0.96,both,"C06 plausibly supplied concrete machinery for the later Zimbabwe amendment: Treasury designations in consultation with State; coverage of immediate family members, material supporters, and owned or controlled persons; Annex-based blocking; and authority to delist when circumstances no longer warrant inclusion. The child expressly highlights this same combination of added authorities, using closely parallel language. C14 and C18 also contain strong designation-support-delisting templates, but C06 uniquely combines those features with immediate-family coverage.",C06|C14|C18,1071,rrf_fill,0.042266614735126495,7,0.018744463101029396,7,146.45339410241024,20,0.518756628036499,325
SHC039,5448,property_blocking,candidate,C06,0.98,both,"C06 is an exceptionally strong source: it was issued one month earlier, identifies exactly the same seven persons and entities in the same order, invokes the same Kingpin Act authority, and reports the direction of sanctions that the child later describes as imposed. The child materially reuses that designation list and action as the foundation for a subsequent statutory status report. C03 provides a close same-administration template for the Kingpin Act reporting formula, while C01 offers a weaker structural analogue for a fuller congressional report covering narcotics sanctions, blocking consequences, interagency implementation, and expenses.",C06|C03|C01,5457,bm25|word10|word5,0.10155220329761505,1,0.0781129002571106,1,414.0855752772301,1,,
SHC040,10318,property_blocking,candidate,C10,0.8,both,"C10 is the strongest plausible template because it is a recent presidential memorandum using the same compact operative machinery: a presidential national-security determination, an express waiver of identified statutory provisions, and a direction to publish the determination in the Federal Register. The child expands that basic formulation with a detailed finding that execution against blocked property would impede foreign policy and sanctions effectiveness. C25 uses essentially the same waiver formula but is earlier and was itself superseded in practical proximity by C10. C08 is substantively related through sanctions waiver and continued blocking of property, but its multi-agency suspension machinery and peace-settlement predicate are less textually aligned.",C10|C25|C08,10349,function,0.014077580533921719,341,0.0,5605,63.427210444758614,406,0.6718771457672119,4
SHC041,10008,emergency_action,candidate,C18,0.99,both,"C18 is an earlier FEMA-specific memorandum whose title, addressee, section structure, operative succession sentence, statutory eligibility condition, acting-capacity exclusion, and reservation of presidential discretion are reproduced almost verbatim in the child. The child principally revises the succession list and adds termination and publication sections, making C18 a concrete and material drafting template rather than merely another directive on the same subject.",C18|C02|C16,10058,bm25|function|word10|word5,0.6200183629989624,1,0.5556960701942444,1,290.362207283934,1,0.7524290680885315,1
SHC042,5616,emergency_action,candidate,C12,0.99,both,"C12 is the immediately preceding continuation letter for the same Taliban emergency and supplies nearly the entire child’s structure and much of its wording. Both recite section 202(d), report sending the enclosed Federal Register notice, describe Taliban-controlled Afghan territory as a safe haven and base of operations for Usama bin Laden and al-Qaida, characterize the situation as an unusual and extraordinary threat, and conclude that the same emergency authorities must remain in force beyond the anniversary date. The child principally updates the date and makes minor wording and capitalization changes. C25 and C06 share substantial continuation-letter machinery, but neither matches the child’s target and factual paragraph as C12 does.",C12|C25|C06,5727,bm25|function|word10|word5,0.8592778444290161,1,0.8332764506340027,1,348.74805321033733,1,0.816521167755127,1
SHC043,5659,emergency_action,candidate,C07,0.99,both,"C07 is the immediately preceding annual continuation letter for the same national emergency and supplies virtually the entire child’s drafting structure and substantive language, with principally the continuation date and prior-notice citation updated. C04 and C10 are earlier iterations of the same recurring text, but C07 is the closest and most plausible direct template.",C07|C04|C10,5769,bm25|function|word10|word5,0.8869908452033997,1,0.8123083710670471,1,421.09195085288985,1,0.8472362756729126,1
