document_id,url,date,president,doc_type,term,source_file,authority_category,self_executing_category,rationale,evidence_phrase,evidence_excerpt,directive_title,vesting_clauses
55,https://www.presidency.ucsb.edu/documents/executive-order-14364-addressing-security-risks-from-price-fixing-and-anti-competitive,"December 06, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14364 Addressing Security Risks From Price Fixing And Anti Competitive,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
57,https://www.presidency.ucsb.edu/documents/executive-order-14363-launching-the-genesis-mission,"November 24, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,Establishment of the Genesis Mission. (a) There is hereby established the Genesis Mission (Mission,"...er investment into research and development, thereby furthering America's technological dominance and global strategic leadership. Sec. 2. Establishment of the Genesis Mission. (a) There is hereby established the Genesis Mission (Mission), a national effort to accelerate the application of AI for transformative scientific discovery focused on pressing national challenges. (...",Executive Order 14363 Launching The Genesis Mission,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
63,https://www.presidency.ucsb.edu/documents/executive-order-14356-ensuring-continued-accountability-federal-hiring,"October 15, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,self_executing_legal_effect,procurement/acquisition prohibition,Contracting outside the Federal Government to circumvent the intent of this order is prohibited. (d) This order does not prohibit,"...tive proposals. (b) This order shall be implemented consistent with applicable law and subject to the availability of appropriations. (c) Contracting outside the Federal Government to circumvent the intent of this order is prohibited. (d) This order does not prohibit making reallocations or reassignments to meet the highest priority needs; maintain essential services; and protect national security, homel...",Executive Order 14356 Ensuring Continued Accountability Federal Hiring,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
64,https://www.presidency.ucsb.edu/documents/executive-order-14355-unlocking-cures-for-pediatric-cancer-with-artificial-intelligence,"September 30, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary), the Assistant to the President for Science and Technology (APST), and the Special Advisor for AI and Crypto, and in alignment with the implementation of America's AI Action Plan, shall work to develop","...ved care. Sec. 2. Harnessing American AI Innovation. The MAHA Commission, in coordination with the Secretary of Health and Human Services (Secretary), the Assistant to the President for Science and Technology (APST), and the Special Advisor for AI and Crypto, and in alignment with the implementation of America's AI Action Plan, shall work to develop innovative ways to utilize advanced technologies such as AI to unlock improved diagnoses, treatments, cures, and prevention strategies for...",Executive Order 14355 Unlocking Cures For Pediatric Cancer With Artificial Intelligence,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
66,https://www.presidency.ucsb.edu/documents/executive-order-14353-assuring-the-security-the-state-qatar,"September 29, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,Secretary of State shall reaffirm this assurance to the State of Qatar and coordinate,...planning with the State of Qatar to ensure a rapid and coordinated response to any foreign aggression against the State of Qatar. (d) The Secretary of State shall reaffirm this assurance to the State of Qatar and coordinate with allies and partners to ensure complementary measures of support. (e) The Secretary of State shall continue to partner with the State...,Executive Order 14353 Assuring The Security The State Qatar,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America, and in recognition of the enduring alliance between the United States and the State of Qatar,""]"
67,https://www.presidency.ucsb.edu/documents/executive-order-14352-saving-tiktok-while-protecting-national-security,"September 25, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14352 Saving Tiktok While Protecting National Security,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
68,https://www.presidency.ucsb.edu/documents/executive-order-14351-the-gold-card,"September 19, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14351 The Gold Card,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
70,https://www.presidency.ucsb.edu/documents/executive-order-14350-further-extending-the-tiktok-enforcement-delay,"September 16, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14350 Further Extending The Tiktok Enforcement Delay,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
73,https://www.presidency.ucsb.edu/documents/executive-order-14347-restoring-the-united-states-department-war,"September 05, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Department of Defense, Secretary of Defense, and subordinate officers and components shall remain controlling until changed subsequently by the law. (f) Within 30 days of the date of this order, the Secretary of War shall submit","...e of such titles does not create confusion with respect to legal, statutory, or international obligations. (e) Statutory references to the Department of Defense, Secretary of Defense, and subordinate officers and components shall remain controlling until changed subsequently by the law. (f) Within 30 days of the date of this order, the Secretary of War shall submit to the President, through the Assistant to the President for National Security Affairs, a notification for transmittal to the Congress of a...",Executive Order 14347 Restoring The United States Department War,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
77,https://www.presidency.ucsb.edu/documents/executive-order-14341-prosecuting-burning-the-american-flag,"August 25, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14341 Prosecuting Burning The American Flag,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
80,https://www.presidency.ucsb.edu/documents/executive-order-14342-taking-steps-end-cashless-bail-protect-americans,"August 25, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"department and agency, in coordination with the Director of the Office of Management and Budget, shall identify","...ndecent acts, or burglary, looting, or vandalism. The Attorney General shall update this list as necessary. (b) The head of each executive department and agency, in coordination with the Director of the Office of Management and Budget, shall identify Federal funds, including grants and contracts, currently provided to cashless bail jurisdictions identified pursuant to subsection (a) of t...",Executive Order 14342 Taking Steps End Cashless Bail Protect Americans,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
81,https://www.presidency.ucsb.edu/documents/executive-order-14338-improving-our-nation-through-better-design,"August 21, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,is established a national initiative,"...he quality of experiences offered to the American public. Sec. 2. Establishing America by Design and the National Design Studio. (a) There is established a national initiative, America by Design, to improve comprehensively the visual presentation and usability of Federal services provided to the public in both dig...",Executive Order 14338 Improving Our Nation Through Better Design,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
82,https://www.presidency.ucsb.edu/documents/executive-order-14335-enabling-competition-the-commercial-space-industry,"August 13, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,Council on Environmental Quality shall coordinate,"...zations, permits, approval, real property leases, and any other activity relevant to spaceport infrastructure development. The Chair of the Council on Environmental Quality shall coordinate with relevant executive departments and agencies (agencies) on the establishment of new categorical exclusions under NEPA for actions relat...",Executive Order 14335 Enabling Competition The Commercial Space Industry,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
83,https://www.presidency.ucsb.edu/documents/executive-order-14337-revocation-executive-order-competition,"August 13, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14337 Revocation Executive Order Competition,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
84,https://www.presidency.ucsb.edu/documents/executive-order-14336-ensuring-american-pharmaceutical-supply-chain-resilience-filling-the,"August 13, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"departments and agencies (agencies) to consider a variety of actions to increase their domestic procurement of Essential Medicines, Medical Countermeasures, and Critical Inputs, as defined in section 7 of that order, and to identify","...ty by Ensuring Essential Medicines, Medical Countermeasures, and Critical Inputs Are Made in the United States), directed certain executive departments and agencies (agencies) to consider a variety of actions to increase their domestic procurement of Essential Medicines, Medical Countermeasures, and Critical Inputs, as defined in section 7 of that order, and to identify supply chain vulnerabilities. The Food and Drug Administration published a list of Essential Medicines, Medical Countermeasures, and Critic...",Executive Order 14336 Ensuring American Pharmaceutical Supply Chain Resilience Filling The,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
87,https://www.presidency.ucsb.edu/documents/executive-order-14332-improving-oversight-federal-grantmaking,"August 07, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,Agency Grantmaking. (a) Each agency head shall promptly designate a senior appointee who shall be responsible for creating a process to review new funding opportunity announcements and to review,"...r Level, Scientific and Professional, or Grade 15 position in Schedule C of the excepted service. Sec. 3. Strengthening Accountability for Agency Grantmaking. (a) Each agency head shall promptly designate a senior appointee who shall be responsible for creating a process to review new funding opportunity announcements and to review discretionary grants to ensure that they are consistent with agency priorities and the national interest. For the avoidance of doubt, this...",Executive Order 14332 Improving Oversight Federal Grantmaking,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America, and to improve the process of Federal grantmaking while ending offensive waste of tax dollars,""]"
88,https://www.presidency.ucsb.edu/documents/executive-order-14330-democratizing-access-alternative-assets-for-401k-investors,"August 07, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,Department of Labor's position on alternative assets and the appropriate fiduciary process associated with offering asset allocation funds containing investments in alternative assets under ERISA. Such clarification must aim to identify,"...date of this order, the Secretary shall further, as the Secretary deems appropriate and consistent with applicable law, seek to clarify the Department of Labor's position on alternative assets and the appropriate fiduciary process associated with offering asset allocation funds containing investments in alternative assets under ERISA. Such clarification must aim to identify the criteria that fiduciaries should use to prudently balance potentially higher expenses against the objectives of seeking greater long-te...",Executive Order 14330 Democratizing Access Alternative Assets For 401K Investors,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
89,https://www.presidency.ucsb.edu/documents/executive-order-14331-guaranteeing-fair-banking-for-all-americans,"August 07, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary of the Treasury, in consultation with the Assistant to the President for Economic Policy, shall develop","...uch services previously denied. Sec. 5. Scrutinizing Politicized or Unlawful Debanking. (a) Within 180 days of the date of this order, the Secretary of the Treasury, in consultation with the Assistant to the President for Economic Policy, shall develop a comprehensive strategy for further measures to combat politicized or unlawful debanking activities of financial regulators and financial...",Executive Order 14331 Guaranteeing Fair Banking For All Americans,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
91,https://www.presidency.ucsb.edu/documents/executive-order-14328-establishing-the-white-house-task-force-the-2028-summer-olympics,"August 05, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,There is hereby established the White House Task Force on the 2028 Summer Olympics (Task Force). (b) The President shall serve as Chair of the Task Force,"...out the 2028 Summer Olympic and Paralympic Games (Games). Sec. 2. Establishing the White House Task Force on the 2028 Summer Olympics. (a) There is hereby established the White House Task Force on the 2028 Summer Olympics (Task Force). (b) The President shall serve as Chair of the Task Force, and the Vice President shall serve as Vice Chair. (c) The Chair shall designate an Executive Director, who shall administer and execute t...",Executive Order 14328 Establishing The White House Task Force The 2028 Summer Olympics,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America, and in anticipation of the 2028 Summer Olympics,""]"
97,https://www.presidency.ucsb.edu/documents/executive-order-14322-saving-college-sports,"July 24, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary of Education, in consultation with the Attorney General, the Secretary of Health and Human Services, the Secretary of Education, and the Chairman of the Federal Trade Commission, shall develop","...arket value that the athlete provides to a third party, such as for a brand endorsement. (d) Within 30 days of the date of this order, the Secretary of Education, in consultation with the Attorney General, the Secretary of Health and Human Services, the Secretary of Education, and the Chairman of the Federal Trade Commission, shall develop a plan to advance the policies set forth in subsections (a)–(c) of this section through all available and appropriate regulatory, enforceme...",Executive Order 14322 Saving College Sports,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
98,https://www.presidency.ucsb.edu/documents/executive-order-14321-ending-crime-and-disorder-americas-streets,"July 24, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary of Health and Human Services, the Secretary of Housing and Urban Development, and the Secretary of Transportation shall take immediate steps to assess","...or are living on the streets and cannot care for themselves. Sec. 3. Fighting Vagrancy on America's Streets. (a) The Attorney General, the Secretary of Health and Human Services, the Secretary of Housing and Urban Development, and the Secretary of Transportation shall take immediate steps to assess their discretionary grant programs and determine whether priority for those grants may be given to grantees in States and municipalities th...",Executive Order 14321 Ending Crime And Disorder Americas Streets,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
100,https://www.presidency.ucsb.edu/documents/executive-order-14318-accelerating-federal-permitting-data-center-infrastructure,"July 23, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,Council on Environmental Quality shall coordinate,...and adoption of which by agencies (pursuant to 42 U.S.C. 4336 and 4336c) could facilitate the construction of Qualifying Projects. (b) The Council on Environmental Quality shall coordinate with relevant agencies on the establishment of new categorical exclusions to cover actions related to Qualifying Projects that normally do...,Executive Order 14318 Accelerating Federal Permitting Data Center Infrastructure,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
101,https://www.presidency.ucsb.edu/documents/executive-order-14319-preventing-woke-ai-the-federal-government,"July 23, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14319 Preventing Woke Ai The Federal Government,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
103,https://www.presidency.ucsb.edu/documents/executive-order-14315-ending-market-distorting-subsidies-for-unreliable-foreign-controlled,"July 07, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Department of the Interior. (a) Within 45 days following enactment of the One Big Beautiful Bill Act, the Secretary of the Interior shall conduct a review","...nhanced Foreign Entity of Concern restrictions in the One Big Beautiful Bill Act. Sec. 4. One Big Beautiful Bill Act Implementation by the Department of the Interior. (a) Within 45 days following enactment of the One Big Beautiful Bill Act, the Secretary of the Interior shall conduct a review of regulations, guidance, policies, and practices under the Department of the Interior's jurisdiction to determine whether any provide pref...",Executive Order 14315 Ending Market Distorting Subsidies For Unreliable Foreign Controlled,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
105,https://www.presidency.ucsb.edu/documents/executive-order-14313-establishing-the-presidents-make-america-beautiful-again-commission,"July 03, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,There is hereby established the President's Make America Beautiful Again Commission (Commission,"...collaborative conservation efforts. Sec. 3. Establishment and Composition of the President's Make America Beautiful Again Commission. (a) There is hereby established the President's Make America Beautiful Again Commission (Commission), which shall be chaired by the Secretary of the Interior (Chair), with the Assistant to the President for Domestic Policy serving as Execu...",Executive Order 14313 Establishing The Presidents Make America Beautiful Again Commission,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
108,https://www.presidency.ucsb.edu/documents/executive-order-14311-establishing-white-house-office-for-special-peace-missions,"June 30, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,is hereby established within the White House Office. The Office,"...Peace Missions. In order to assist in bringing about the end of conflict and strife around the world, the Office for Special Peace Missions is hereby established within the White House Office. The Office for Special Peace Missions shall be headed by a Special Envoy for Peace Missions, who shall be appointed by the President. The Special Envo...",Executive Order 14311 Establishing White House Office For Special Peace Missions,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
111,https://www.presidency.ucsb.edu/documents/executive-order-14308-empowering-commonsense-wildfire-prevention-and-response,"June 12, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary of Agriculture, in consultation with the Secretary of Commerce and the heads of executive departments and agencies (agencies) represented at the National Interagency Fire Center, shall: (i) develop","...and response measures at the State and local levels. (b) Within 180 days of the date of this order, the Secretary of the Interior and the Secretary of Agriculture, in consultation with the Secretary of Commerce and the heads of executive departments and agencies (agencies) represented at the National Interagency Fire Center, shall: (i) develop a comprehensive technology roadmap, in consultation with the Director of the Office of Science and Technology Policy (OSTP), to increase wi...",Executive Order 14308 Empowering Commonsense Wildfire Prevention And Response,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
112,https://www.presidency.ucsb.edu/documents/executive-order-14305-restoring-american-airspace-sovereignty,"June 06, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,there is hereby established the Federal Task Force to Restore American Airspace Sovereignty (Task Force). The Task Force,"...nlawful use of UAS. Sec. 4. Task Force to Restore American Airspace Sovereignty. To assist in ensuring control over our national airspace, there is hereby established the Federal Task Force to Restore American Airspace Sovereignty (Task Force). The Task Force shall be chaired by the Assistant to the President for National Security Affairs (APNSA) or a designee, and include principals, or their de...",Executive Order 14305 Restoring American Airspace Sovereignty,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
115,https://www.presidency.ucsb.edu/documents/executive-order-14304-leading-the-world-supersonic-flight,"June 06, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"departments and agencies (agencies), including the Secretary of Defense, the Secretary of Commerce, the Secretary of Transportation, and the Administrator of the National Aeronautics and Space Administration, coordinate","...lopment. (a) The Director of the Office of Science and Technology Policy (OSTP) shall, in consultation with the heads of relevant executive departments and agencies (agencies), including the Secretary of Defense, the Secretary of Commerce, the Secretary of Transportation, and the Administrator of the National Aeronautics and Space Administration, coordinate supersonic research and development through the National Science and Technology Council, with the goal of: (i) identifying RDT&E needs for...",Executive Order 14304 Leading The World Supersonic Flight,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
116,https://www.presidency.ucsb.edu/documents/executive-order-14301-reforming-nuclear-reactor-testing-the-department-energy,"May 23, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Department, the National Laboratories, and any other entity under the Department's jurisdiction to significantly expedite the review","...he date of this order, the Secretary shall take appropriate action to revise the regulations, guidance, and procedures and practices of the Department, the National Laboratories, and any other entity under the Department's jurisdiction to significantly expedite the review, approval, and deployment of advanced reactors under the Department's jurisdiction. The Secretary shall ensure that the Department's expedi...",Executive Order 14301 Reforming Nuclear Reactor Testing The Department Energy,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
117,https://www.presidency.ucsb.edu/documents/executive-order-14300-ordering-the-reform-the-nuclear-regulatory-commission,"May 23, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,mission shall include,"...yment of Versatile, Advanced Nuclear for Clean Energy Act of 2024, Public Law 118–67, sec. 501(a). Just as the Congress directed, the NRC's mission shall include facilitating nuclear power while ensuring reactor safety. When carrying out its licensing and related regulatory functions, the NRC shall c...",Executive Order 14300 Ordering The Reform The Nuclear Regulatory Commission,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
